"Sample","MAPK14","HIF1A","HIF1A.1","HIF1A.2","SOCS3","SOCS3.1","MYD88","MYD88.1","BCL2","BCL2.1","IL1R2","GATA3","GATA3.1","IL10","BCL2.2","BCL2.3","MAPK14.1","MAPK14.2","MYD88.2","MYD88.3","HIF1A.3","HIF1A.4","MAPK14.3","HIF1A.5","HIF1A.6","MAPK14.4","HIF1A.7","GATA3.2","MAPK14.5","Label"
"GSM1602964",8.659855952,9.280566191,5.238579522,6.37794154,2.379037231,3.586595554,3.920024136,8.60912005,5.299994751,4.963503679,7.811402321,5.74870695,4.889735911,2.299337995,2.614785074,2.397089084,5.316913843,5.171402817,3.747509214,4.14439488,6.027283417,5.583924236,5.945853701,6.69952816,6.7329636,4.221636463,6.776997071,3.302974389,7.629241962,"healthy"
"GSM1602966",8.306799971,8.800855352,4.996467754,6.004587282,2.057479514,4.766161741,4.383485738,8.544752468,5.492989333,5.415188524,7.960559616,5.526592213,4.274490747,2.104469996,1.995291277,2.052725782,5.359952457,4.782480477,3.948766389,4.460520178,5.234677331,5.276502207,5.80689381,6.513338895,6.727066389,3.955451308,6.397954591,3.687509276,7.4794307,"healthy"
"GSM1602968",8.869228182,9.609914208,4.326810681,5.958440087,2.738516829,6.661567181,3.006568472,8.299002855,4.71202644,4.264752604,11.28121992,5.87282522,3.168637068,3.19778944,2.460275104,2.394523588,5.989944829,4.92089551,3.023652664,3.482566721,4.921546707,5.524347494,5.961164582,6.65616954,6.787950422,4.43757921,6.703371071,2.879840197,7.918984094,"Sepsis"
"GSM1602969",8.160351448,9.055135653,5.048482907,6.437053076,2.372869239,3.527239463,3.817054343,8.453830018,6.101087289,6.077309498,6.715069263,7.1242607,5.849427171,2.141803502,2.419957092,2.205487469,5.503376672,4.774387884,3.458631,4.55524475,5.555104845,5.231333021,5.482286114,6.793361876,7.027430442,4.023586223,6.746730342,3.86822962,7.307501302,"healthy"
"GSM1602973",6.291046684,7.157833613,3.997724023,3.395853756,3.689700228,4.424343307,2.404563951,6.719136113,2.686814761,2.541542708,6.943242494,5.438510288,3.216559522,3.217651345,2.652082476,2.845416754,4.309171463,3.760242753,3.101579464,3.61974359,3.343099828,3.155738897,5.552953738,4.132569173,3.779791008,3.522084849,3.613396213,3.365078162,5.761295516,"Sepsis"
"GSM1602974",8.6680359,8.500953357,3.657038267,4.799473563,3.414139195,6.985923383,3.088552958,8.112590068,2.44696112,1.98204193,10.36120335,4.24494738,2.414323006,2.719517531,3.58972972,3.420675845,5.648919282,5.692739205,2.409333217,4.0006654,3.70930419,3.593466471,7.179732002,4.795593225,5.424143158,4.886098814,5.658900689,2.32574034,7.797973992,"Sepsis"
"GSM1602975",10.07461399,9.636753762,6.228416036,7.336973572,2.46696324,7.049355807,5.578508303,9.141442117,3.084556223,3.016278997,10.74947278,4.12588691,2.319545664,2.685181783,1.90653848,2.190228288,7.207439164,7.778583037,5.793570115,5.937332045,6.853574775,6.268371767,8.614648691,7.624353397,7.517784982,7.324877526,7.44176867,2.639533998,9.104187207,"Sepsis"
"GSM1602976",10.28149225,9.88250155,5.718145424,7.519217753,3.288157606,8.582106891,5.039656526,8.879570655,2.036512054,2.05952417,11.59539144,4.091455927,2.251458055,2.925538468,2.556700649,2.311388846,7.481037659,7.155401742,4.762460694,5.092239412,6.655640278,6.676987142,8.336353063,7.924183847,7.745394327,6.521359386,7.623155095,2.349136633,9.242168007,"Sepsis"
"GSM1691861",10.44934179,9.557711423,5.61274133,7.002349327,2.637707554,7.97113485,4.568586725,8.676628288,2.43171715,2.381413542,12.51308567,3.754533448,2.176240226,3.623173991,2.337944073,2.578522665,7.279130476,7.806975569,4.847542754,5.028987242,6.753393304,6.154975961,8.914267211,7.402723997,7.227540358,7.044759597,7.210184962,2.292336959,9.189846832,"Sepsis"
"GSM1691863",10.40716879,9.218939777,5.880016529,6.789769625,2.857111146,8.22497897,4.392853657,9.300539745,3.005793495,3.033230207,12.30826057,4.216638139,2.268438205,2.700661577,2.454574809,2.637723083,7.5488449,7.402404326,4.427995915,5.060722608,6.199078806,5.92140864,8.455080754,7.091118958,7.172256104,6.960888062,6.807869622,2.532939596,9.316473374,"Sepsis"
