"Sample","S100A12","HMGB1","HMGB1.1","HMGB1.2","S100A8","HMGB1.3","HMGB1.4","HMGB1.5","HMGB1.6","Label"
"GSM1692063",10.28173793,4.994965553,6.203009916,7.314838821,12.48975708,7.417437632,7.548186727,7.547468141,3.177802278,"Sepsis"
"GSM1692089",10.15772921,3.592499653,4.823925238,7.159625803,11.63207873,6.389708064,7.354903585,6.843561813,3.597866941,"Sepsis"
"GSM1692096",11.37948417,6.153653371,7.030410169,8.540500483,12.85633739,8.513181291,8.747894661,8.534556386,4.377547384,"Sepsis"
"GSM1692101",10.81820494,5.36869289,6.758539425,7.977177563,12.66160588,8.186715148,7.930529003,8.125235632,3.543553039,"Sepsis"
"GSM1692108",12.13646434,4.393121661,6.66778778,7.855874654,13.02645199,7.870669129,8.06757728,8.005850014,2.982646077,"Sepsis"
"GSM1692118",11.89688584,4.358671469,6.149133602,8.073318355,13.07686545,7.554005626,8.18166105,7.443846411,2.978143418,"Sepsis"
"GSM1692121",12.10785717,4.380162246,5.952203005,8.093999572,12.99008561,7.641021878,8.327425476,7.550305253,2.535486184,"Sepsis"
"GSM1692132",12.72510008,2.885186039,4.558508401,7.866679696,13.20863886,6.332169037,7.711384769,6.388705001,2.392479259,"Sepsis"
"GSM1692136",11.45077409,3.064590177,5.090339361,7.631599484,12.63014519,7.214073174,7.844166566,7.343906786,2.364159024,"Sepsis"
"GSM1692142",11.95472056,4.214391068,5.643605258,7.269467285,13.16218929,7.329764791,7.986585915,7.799175039,2.869418118,"Sepsis"
"GSM1692157",12.64629854,3.736779003,5.084819563,7.65833824,13.10166104,6.82458989,7.980817878,7.232077444,2.648405966,"Sepsis"
"GSM1692165",11.78706522,3.946405636,6.68066683,7.458063515,12.72849206,7.708049666,7.791264043,7.967121859,2.69038955,"Sepsis"
"GSM1692167",12.00231369,4.53985175,6.743837431,7.80358113,13.04151829,7.638962795,7.719056344,7.924070688,4.157750469,"Sepsis"
"GSM1692169",12.02193714,4.135417372,5.554351724,7.98939162,12.8177505,7.057588883,7.947466124,7.123895615,3.080488194,"Sepsis"
"GSM1692172",9.921127654,5.007412423,6.61058375,8.228791592,12.05592477,8.14687239,8.038087076,7.823114402,3.755109373,"Sepsis"
"GSM1692177",12.52690772,3.877429325,5.837016442,7.959902893,13.15258508,7.337981648,8.036331041,7.217696671,2.908549337,"Sepsis"
"GSM1692181",11.85689228,3.68730768,5.159261787,7.151210887,12.81420272,7.308245266,7.14871188,7.204128206,2.842411153,"Sepsis"
"GSM1692192",12.48987274,4.630093856,6.450399084,7.885785219,13.16589118,7.875499525,7.931056965,7.750126413,3.281738716,"Sepsis"
"GSM1692199",12.16341076,4.617924678,6.37602048,7.676653727,13.11752711,8.047773378,8.026043219,7.945576843,2.708158225,"Sepsis"
"GSM1692203",12.26092118,5.635647002,7.644583172,8.167151453,13.06253648,8.316104696,8.383191447,8.294749836,3.405448818,"Sepsis"
"GSM1692204",12.2970886,4.696961724,6.834828764,8.064161162,13.04657959,8.06085949,8.220087288,8.091909228,3.046586791,"Sepsis"
"GSM1692216",11.59238862,4.342484481,6.616032032,7.823667894,12.6156588,7.975045165,8.022996074,7.956855002,3.121779341,"Sepsis"
"GSM1692223",11.81672918,5.608728785,6.572590162,7.972539629,12.84185233,7.943054043,7.849362463,7.881713894,2.770421847,"Sepsis"
"GSM1692245",11.4134229,3.843467718,5.630303296,7.444493153,12.51835593,7.042523643,7.588188706,7.073768949,2.667850832,"Sepsis"
"GSM1692250",9.899593587,4.402457764,6.550119257,8.550130447,11.64190638,8.23804242,8.733777289,7.893537853,3.442088427,"Sepsis"
"GSM1692251",12.5389234,3.404616627,4.239777774,7.923395496,13.07198136,6.624777757,8.020890366,7.054435936,3.454147497,"Sepsis"
"GSM1692258",11.58990064,5.182764435,7.118567956,8.454230744,12.91058844,8.568953624,8.461890383,8.508796037,3.415652615,"Sepsis"
"GSM1692259",12.21810834,5.354259805,6.888862525,8.258357019,13.04813373,8.328095518,8.235318104,8.110506973,3.105023621,"Sepsis"
