"Sample","P2RX7","OLFM4","LBP","NOTCH1","HMGB1","FCGR1A","IL6","IL1B","CXCL8","IFNA2","IL10","ARG1","ICAM1","CD14","ITGAM","BCL2","VCAM1","MAPK14","CX3CR1","HIF1A","CXCL10","C5AR1","CALCA","CCR7","ELANE","GATA3","HMGB1.1","IFNB1","MMP8","MYD88","P2RX7.1","PLAUR","PTX3","S100A8","S100A9","CCL2","TLR2","TLR4","TNFSF10","SOCS3","C3AR1","IL1R2","NLRP3","MMP9","PDCD1","LCN2","S100A12","CCL25","CCL19","NOTCH1.1","TREM1","CD177","TNF","CRP","IFNG","Label"
"GSM151397",0.068353675,2.234127998,0.666724205,0.733761609,1.593718171,2.566610336,-0.497668386,1.037132025,-0.639379084,0.468822688,1.073547602,3.131798983,1.414055824,3.996857643,2.932281971,1.705467939,-0.051942494,1.858483553,1.178292155,-0.865385473,0.131565824,1.789016962,0.78540206,0.677606583,-0.381669194,-0.160738632,0.534517348,-0.764179707,-0.884980142,3.385790825,-2.789668322,0.173564777,0.79914099,8.996128082,6.204713821,0.112380683,2.198143005,2.397459269,1.555555344,0.441745788,1.325602651,1.939124942,0.146849841,-1.073663235,-0.234695047,-0.851713181,4.876115799,-0.776250005,-0.457806557,1.467140794,4.705805302,3.060527802,1.68350029,-0.465163857,1.040032506,"Sepsis"
"GSM151398",0.018752605,-0.751913786,-0.525890648,3.907460451,0.489967316,3.862045527,0.882027447,2.733402967,1.463011026,-3.439056635,0.461179018,1.492367983,0.361444026,1.80832994,1.267910719,0.103726365,-0.453883231,3.114447355,0.144855037,0.170498356,-0.603915215,2.309035778,0.203297779,-0.011565825,-0.416034043,-0.733433664,-0.788607001,0.73454982,-0.156097591,2.817579985,0.860095143,-0.563630044,0.410953373,9.241832733,6.586598396,-0.770781457,3.306270361,3.45593977,0.63639009,1.310415387,2.386446953,2.851686001,0.15290828,0.714200377,-0.639383078,1.111441016,4.80053997,-0.117448866,-0.136827335,-0.620892584,2.178249121,3.999567509,-0.221761063,-0.019184837,-0.278009295,"Sepsis"
"GSM151399",-2.70112133,0.000574923,-0.391952008,1.304075599,1.16352427,3.614456177,-0.10446205,0.829004824,0.854509592,0.448620051,-0.481977999,5.46242094,0.989317536,4.319493294,4.597813606,0.386765033,-0.097791314,2.361724138,0.930347621,1.236321449,-0.361104339,4.178757191,-0.951220155,0.695781052,0.764003813,-1.867501497,1.106740713,2.155807734,1.923448205,3.585307837,-0.179167584,0.348287284,-0.303770751,10.57398701,7.767433167,-1.037669897,2.029340029,2.781831264,3.250441313,2.283141851,1.792209744,4.381162167,0.359033525,0.125969008,-0.174624905,1.60179317,7.281880856,0.325084925,-1.51576972,2.486959934,2.656377316,6.979827881,1.210237503,-0.111984633,0.599527776,"Sepsis"
"GSM151401",2.250071287,0.127020523,-0.19094938,3.457430124,-0.000681156,2.555723429,0.40836525,1.761387348,-1.62475121,-0.04704589,0.882684112,4.405106544,0.159904063,2.765759706,4.394204617,0.136499017,-0.051692426,2.580106258,-0.875506878,-0.787704945,0.582190096,3.609632969,-0.553150713,0.869898677,-1.137501717,-1.947036505,0.397069186,0.979170978,1.062038898,3.310976267,0.849622548,0.740146518,-0.512082815,8.960780144,6.469466686,-2.345458746,3.48204422,3.123254538,2.04931283,1.810986757,2.350079536,4.577316761,1.148345947,0.004020674,0.19811815,0.385294408,6.780890942,-0.322178453,0.763716459,2.083204031,3.348367214,4.735107899,0.960539281,0.054767139,1.063125491,"Sepsis"
"GSM151402",3.76277709,0.550247192,0.127084434,4.309330463,-0.503367662,3.154778004,-0.306779146,1.588669419,0.691975772,0.417434394,-0.110067971,4.156792641,0.899844944,4.487940311,3.989809275,-0.292689413,-0.145958498,2.356621981,-0.362304538,-0.245250031,-1.460282326,3.791291475,0.125398755,1.384265065,-2.259934425,-1.969996929,-1.191793084,0.206715912,0.186249614,3.063991308,-1.097637057,0.657245696,-0.247516289,8.261259079,5.668650627,-1.480296969,3.13438201,4.536706924,1.262986064,2.310513496,1.723633885,4.825820923,2.214970827,-0.374553978,1.526703358,1.58481741,7.191046238,1.057318449,-0.646254301,2.274651527,2.58977294,4.883565426,0.328434199,-0.376973778,0.305484474,"Sepsis"
"GSM151403",0.376559585,0.402403772,-0.261960745,3.064338923,-0.579073071,2.85031867,-0.546100497,2.588769197,-1.139653921,0.664086401,-0.433027774,3.206602097,0.612107456,2.381086111,2.626264095,0.431117594,-0.152191237,3.202423096,1.1762954,0.611904204,-0.550589144,3.373547316,0.558290005,1.049885511,-2.037369013,-0.974383116,-0.153311044,0.467775106,1.045647264,4.225865364,-0.333863884,0.463045955,-0.225886479,8.907812119,6.383691311,-2.12482667,3.983042002,3.003344536,0.97820729,1.139002442,1.743020415,4.587421894,0.701002717,-0.230814695,0.244534835,0.599509656,5.799088001,0.326246321,1.78609097,1.950745463,1.829755902,2.113964796,0.095784813,0.101156928,1.24296546,"Sepsis"
"GSM151404",4.063758373,0.412184298,-0.184475362,2.349894762,0.343643725,2.929706097,-0.34393099,1.209481239,1.065731168,-0.505960524,-1.103333592,2.493098736,0.305047393,2.165749311,2.6624825,-0.314162284,1.476470113,2.978810072,-0.480112344,1.487953544,-0.959685504,2.607457638,0.355809122,0.271634132,-2.028188229,-0.262476087,-0.362245202,3.016993284,2.667217731,3.247086763,-0.161350861,0.129346758,-0.212967485,10.3484869,5.484733105,0.255023539,4.0476408,3.835727453,-1.016568899,3.248941422,1.052144051,4.255029678,1.00706923,0.900636077,0.97738272,0.327629149,4.762701988,0.307809591,0.386363447,1.837184906,1.82877624,2.271537542,-0.207257211,0.388869196,0.255065739,"Sepsis"
"GSM151405",0.625929296,-0.187665194,-0.448828787,3.103909016,0.69270736,4.07894516,-0.244140074,2.487917662,0.969734073,1.267109752,-0.522641718,2.246474504,1.36471653,3.419048548,2.609751225,-0.578160107,-0.184769556,2.704249859,0.533953726,0.631541431,-0.786680937,3.54891777,4.516984463,0.006917132,-0.706909895,0.01730389,-0.297414154,1.090935349,1.319110751,3.730202913,-0.042204898,-0.09758494,-0.483859301,7.791543007,4.622694969,-1.003821969,2.373104095,4.016545773,1.433568835,1.322450757,3.031274796,3.319967747,0.627287805,0.685711443,0.216467962,-0.452081084,5.36993885,-0.82230109,1.714393497,1.988402009,2.042023897,4.633021355,0.904548943,-0.070231378,-0.43429628,"Sepsis"
"GSM151406",0.322687924,0.088122346,0.727669299,3.069636822,-0.119807832,1.970832109,1.639201283,1.987226009,-0.762095571,0.072089903,-0.031442229,4.678408623,-0.128968343,1.63490212,1.977008224,0.392188102,2.298363924,2.056895018,-0.558427393,-0.601446211,0.116701864,4.089986324,0.877654254,0.215157628,-1.521020293,-0.960779548,-0.826640308,1.797923565,0.21061112,3.05287981,1.85317266,0.786012828,-0.354991406,11.38249493,9.745286942,-1.391638637,3.533978939,3.374617338,0.986226499,0.180119842,3.051626205,5.334122181,0.171172976,-1.330347061,0.512606561,-1.070441484,5.893175602,-0.407593548,-0.408780754,2.063730478,0.560781002,0.984501362,0.02214521,-0.780238807,-0.136376455,"Sepsis"
"GSM151407",0.441574037,0.922000825,-1.098471642,3.509872913,0.808162928,5.280025959,-0.771818221,3.945653915,1.631909847,0.192786425,0.1747756,6.840543747,-0.103128619,4.191664696,4.047449112,0.571270108,-0.567797303,2.873256207,0.123117968,-0.790674865,0.398426563,5.291908741,0.313509554,0.572056949,-1.045766354,-1.694535255,0.311217129,0.878277063,2.356934071,4.016624451,0.568135202,0.417400688,0.003214434,10.70702457,7.854075432,-2.345990181,5.071470737,2.782710075,4.407763004,2.202515841,4.578412056,6.828098297,-0.138845071,0.415923476,-0.032238595,0.670085669,7.404529095,0.29006198,1.939195752,1.428171396,3.554112434,3.375422478,-0.336369991,-0.087893687,0.203545094,"Sepsis"
"GSM151408",-0.31381017,0.574892998,-0.067994855,2.261983871,0.526655555,5.447842598,0.076093197,4.539745331,0.449617982,0.083814725,0.220254645,5.96648407,0.337723017,4.121899128,4.25894022,-0.351449758,0.022018718,2.001343966,0.820377231,-0.56526953,1.617980123,3.407534122,-0.361291975,0.702557147,-0.466209054,-0.666630149,0.767301083,0.802864611,1.471524954,4.274569988,-2.950656414,0.265657246,-0.022442812,10.26028061,8.768190384,-0.504026234,3.824364662,4.073877335,4.352207661,2.015209913,3.727965117,5.721927166,1.576429605,-0.716473997,-0.227107584,1.017700911,8.030563354,1.499615431,-0.011722311,1.317336917,3.788509846,6.037298679,0.279192954,0.050902922,-0.592989624,"Sepsis"
"GSM151409",-0.200593874,-1.372720003,-0.061317939,1.211759448,-0.267885387,1.223354936,-1.867739797,0.768431902,0.626280904,-0.817208707,-0.315551817,3.34653306,-0.369054258,1.539115071,1.468792319,0.526820719,0.424469948,1.110358,0.615374267,-0.04560123,-0.2528916,2.218320608,0.109678462,1.452697873,0.984153926,-0.582766235,0.497361392,-0.918623865,0.838666797,2.349411011,0.097555019,-0.042676643,0.372153878,9.100069046,6.865756035,-0.649649441,2.88547039,1.296803355,1.794726372,-0.064129233,1.095768571,3.199115515,0.191969946,-0.735408723,0.347456604,1.051807284,2.934840202,0.217343584,0.870247602,-0.41307056,1.387067795,1.105602384,0.83365351,0.00655123,0.217145771,"Sepsis"
"GSM151410",0.07824982,0.949988842,-0.409263521,2.916469812,0.549104989,3.746798277,0.278516322,2.397859097,-1.192999601,-0.455418944,0.642743707,6.147548676,-0.509297132,0.985082388,2.611898899,0.42915532,-0.560996711,1.725970745,0.394820988,-1.176494122,0.001601367,4.176550865,0.846161485,-0.260335863,0.012838119,-1.14564395,0.299070448,1.023349881,3.271594524,4.093158722,1.2356987,0.502037108,0.283400387,10.90283489,9.719164848,-1.717302561,2.088431835,1.993789315,3.209247112,1.546023011,1.799592257,6.15409708,0.402515501,1.479281425,0.783262551,4.129183292,8.015348434,-0.226673573,-0.076748647,0.940190256,1.658214092,6.308835506,-0.475408792,-0.056305595,-1.330418468,"Sepsis"
"GSM151411",-0.613425493,0.31090501,-0.389246881,1.899497867,1.607350111,1.994293332,-1.386118054,1.27162981,0.709593236,-0.263256788,-0.60609287,1.94749999,0.539159834,1.530092835,2.080286741,0.370467901,0.108135894,-1.412506223,0.156596407,-0.026989279,-1.311265945,2.18233037,0.293223083,0.250461966,0.299431235,-0.061894637,0.852436543,0.728100717,-0.438210815,4.26263237,-0.23099339,0.054896671,0.102943093,10.64466381,3.035135269,-1.298455596,1.204794407,2.271301985,1.234171033,0.846106648,1.00822401,1.558454394,0.042476915,-1.287574768,-0.135855019,-0.312018633,2.335704565,0.025645304,-0.322755337,-0.404320985,2.730001688,3.158681154,-0.651515841,-0.555014908,0.057106096,"Sepsis"
"GSM151412",0.433783263,-0.49599725,-0.225682706,1.556520462,0.186805144,4.737811565,-0.375485986,2.257558584,1.336664915,0.936352134,-0.346387237,4.208102226,0.853435695,2.846383333,2.974682093,0.229379624,0.329315454,1.661539912,0.811808407,-0.093958899,-0.906641483,5.352516651,-1.274626017,0.126188532,0.202964127,-0.936058462,-0.191378415,1.598041415,3.123758316,3.448040009,-0.38727659,1.245285034,-0.22306256,10.65559292,7.66052866,-0.650115013,3.22069335,4.004320145,2.009330988,2.76548171,2.847465515,4.68359375,-0.28869772,-0.087535068,-0.001837818,-0.200587049,7.003419399,-0.942117214,1.460292339,1.461619139,2.768627644,5.828848362,1.348916411,0.563715994,0.742975712,"Sepsis"
"GSM151413",0.230400622,-0.264763236,0.273113281,2.021769285,0.458821893,0.317988068,0.282383561,3.856860161,4.575376034,0.535362065,-0.732689798,1.865993381,0.500762045,2.243950605,1.722344279,-1.354693174,-0.617359996,2.012863159,-0.307779074,2.463573456,0.582831621,3.39789629,-0.40018335,-0.05183449,0.216421664,0.151257589,1.395686746,-0.583648622,0.432051778,3.916825294,0.196978837,0.994939744,-0.302920312,8.368909836,1.151693344,-0.727133036,7.727574825,4.639933109,3.992361307,4.326567173,0.399416566,7.591617584,0.175689712,0.126737893,-1.201016784,1.045408249,0.959939241,0.165403366,-0.552078903,1.071470022,1.110842466,2.432370663,3.859875441,-0.857437849,-0.218974292,"Sepsis"
