"Sample","ITGAM","IL10","SOCS3","S100A9","C3AR1","MMP8","CD177","S100A8","S100A12","MAPK14","IL1R2","CD177.1","ARG1","ARG1.1","GATA3","S100A12.1","Label"
"GSM3816580",12.1933325700663,8.53009543138454,11.9826235682437,17.3273581615761,12.0399760244087,10.9681427837072,15.363647070597,18.8577147819099,18.1996040122705,11.7559989230509,14.6430149777514,10.2812419797438,14.2650725235647,13.1390365842413,6.94047929667565,18.0965004222735,"septic shock"
"GSM3816581",11.040671342222,7.27266974375866,10.2353172957939,16.6933344175084,11.6778220887703,7.53547127407887,11.4673137752224,18.3694270724536,16.649020891188,9.58794468616368,10.9308051440169,7.21129502408206,12.4834564518362,11.6262176003903,7.85363789495729,15.3292729901178,"septic shock"
"GSM3816582",12.3203688113376,8.16020150159846,11.5844533815688,17.7023871272936,11.8248580749399,11.5371124603167,16.8157196642226,18.6076419152064,18.3067041262992,11.3660410258636,15.1206784262359,10.0756262670326,14.6089061886762,14.1201390990111,6.92960286865193,17.9525135083922,"septic shock"
"GSM3816585",11.7079154798776,7.16291789742245,9.81930598584353,17.1923699451205,11.0905131494054,8.89909513940969,13.9094989763668,18.6076419152064,17.7023871272936,10.0238952971634,14.3024524154385,8.60258325085087,14.2305610881383,13.4307170027791,7.00389350818059,17.0197417002335,"septic shock"
"GSM3816586",12.3289430468704,7.64365549851447,11.4829127327985,17.1484346265255,10.9088701207245,8.11126219026915,15.2108338916027,18.2537099454308,17.8039808893842,10.4583131961757,11.9850274621279,9.77683662733116,12.5260597223576,11.8012534823769,7.65246926492723,17.2420655684169,"septic shock"
"GSM3816587",11.9413247005082,8.30155738197104,11.041196942141,17.5049628044254,11.5047285906942,11.7181346847748,16.0373712138229,18.6895942273387,18.1495809068178,11.1684895239709,14.2886323311625,11.212431215467,15.1027978761768,13.9956764214647,7.26425727253392,17.9216564109178,"septic shock"
"GSM3816589",11.7515391389699,7.09800725283129,10.605425162362,17.2917310562135,11.3670078055472,8.32360518872954,15.3211700887166,18.7664180653686,18.0965004222735,11.1929453185367,14.1706177791491,9.37307628732163,14.1043975389062,13.3062218772349,7.01009263141728,17.7768068593388,"septic shock"
"GSM3816590",12.2262935713312,7.19560559991089,11.3861278094724,17.4398291778528,12.0304690610391,7.49783776490018,14.6595457270853,18.4408690765849,17.5049628044254,11.1536296527198,13.9515843310602,9.26575389071458,14.6008880596167,13.4238826737562,7.26302797823224,17.1923699451205,"septic shock"
"GSM3816592",12.8397035407034,8.02495695465088,11.9418718797996,17.566535235278,11.9603420110311,8.79417333292281,14.7007013983581,18.6076419152064,18.0965004222735,11.7285013942631,15.5521428990471,9.56349599385441,14.3728782044014,13.7793146264788,7.16936999474531,17.7768068593388,"septic shock"
"GSM3816593",11.4154049329622,7.02911095759602,10.8714307447665,16.8561523722169,10.0691368641795,6.85792262648861,13.7586149324934,17.3098070408904,16.3378206430941,10.4405705459516,10.0907798994792,7.82453066199327,9.29632213307109,8.65489439415859,7.55887300019033,16.0453165636597,"septic shock"
